t (s), X (px), Y (px), theta (deg), GoalX (px), GoalY (px)
9.214854717254639, 141, 90, 54, 192, 120
9.215752601623535, 141, 90, 54, 192, 120
9.240704774856567, 141, 90, 54, 192, 120
9.24292802810669, 141, 90, 70, 192, 120
9.244701147079468, 141, 90, 70, 192, 120
9.250956058502197, 141, 90, 70, 192, 120
9.252668380737305, 141, 90, 70, 192, 120
9.253883600234985, 141, 90, 70, 192, 120
9.255986213684082, 141, 90, 70, 192, 120
9.257122278213501, 141, 90, 70, 192, 120
9.258126020431519, 141, 90, 70, 192, 120
9.259172916412354, 141, 90, 70, 192, 120
9.262222528457642, 141, 90, 70, 192, 120
9.263880491256714, 141, 90, 70, 192, 120
9.266115427017212, 141, 90, 70, 192, 120
9.268277883529663, 141, 90, 70, 192, 120
9.26995038986206, 141, 92, 72, 192, 120
9.280861377716064, 141, 92, 72, 192, 120
9.28860855102539, 141, 92, 72, 192, 120
9.29097867012024, 141, 92, 72, 192, 120
9.294425010681152, 141, 92, 72, 192, 120
9.29646921157837, 141, 92, 72, 192, 120
9.302889108657837, 141, 92, 72, 192, 120
9.304863929748535, 141, 92, 72, 192, 120
9.309969902038574, 141, 92, 72, 192, 120
9.312140464782715, 141, 95, 57, 192, 120
9.313746929168701, 141, 95, 57, 192, 120
9.316573858261108, 141, 95, 57, 192, 120
9.318352699279785, 141, 95, 57, 192, 120
9.319544792175293, 141, 95, 57, 192, 120
9.33580207824707, 141, 95, 57, 192, 120
9.33955430984497, 141, 95, 57, 192, 120
9.352128744125366, 141, 95, 57, 192, 120
9.353745937347412, 141, 95, 57, 192, 120
9.35516881942749, 141, 95, 57, 192, 120
9.356719493865967, 141, 95, 57, 192, 120
9.358717203140259, 143, 95, 45, 192, 120
9.360996007919312, 143, 95, 45, 192, 120
9.36227297782898, 143, 95, 45, 192, 120
9.363549709320068, 143, 95, 45, 192, 120
9.364897966384888, 143, 95, 45, 192, 120
9.367720127105713, 143, 95, 45, 192, 120
9.369345903396606, 143, 95, 45, 192, 120
9.38095235824585, 143, 95, 45, 192, 120
9.38683533668518, 143, 95, 45, 192, 120
9.388251066207886, 143, 95, 45, 192, 120
9.389305353164673, 143, 95, 45, 192, 120
9.390278100967407, 143, 95, 45, 192, 120
9.391261100769043, 143, 95, 45, 192, 120
9.392162799835205, 143, 95, 45, 192, 120
9.393056392669678, 143, 95, 45, 192, 120
9.393940448760986, 143, 95, 45, 192, 120
9.394828796386719, 143, 95, 45, 192, 120
9.395766735076904, 143, 95, 45, 192, 120
9.396656513214111, 143, 95, 45, 192, 120
9.397560119628906, 143, 95, 45, 192, 120
9.39846158027649, 143, 95, 45, 192, 120
9.39935564994812, 143, 95, 45, 192, 120
9.400283813476562, 143, 95, 45, 192, 120
9.415748834609985, 143, 95, 45, 192, 120
9.417922019958496, 143, 95, 45, 192, 120
9.419631004333496, 143, 95, 45, 192, 120
9.435078144073486, 143, 95, 45, 192, 120
9.442586421966553, 143, 95, 45, 192, 120
9.446359395980835, 144, 103, 60, 192, 120
9.447531461715698, 144, 103, 60, 192, 120
9.448456287384033, 144, 103, 60, 192, 120
9.449358224868774, 144, 103, 60, 192, 120
9.450355291366577, 144, 103, 60, 192, 120
9.451288223266602, 144, 103, 60, 192, 120
9.452356815338135, 144, 103, 60, 192, 120
9.454628467559814, 144, 103, 60, 192, 120
9.456340074539185, 144, 103, 60, 192, 120
9.457592725753784, 144, 103, 60, 192, 120
9.459457635879517, 144, 103, 42, 192, 120
9.460492134094238, 144, 103, 42, 192, 120
9.470235347747803, 144, 103, 42, 192, 120
9.492335796356201, 144, 103, 42, 192, 120
9.495244979858398, 144, 103, 42, 192, 120
9.49697470664978, 144, 103, 42, 192, 120
9.4989333152771, 145, 105, 38, 192, 120
